keyword,degree,strength,betweenness,closeness,clustering,community
AI,24,1775,0.009178743961352657,0.2857142857142857,0.463768115942029,1
emissions,22,324,0.10299344375431332,0.3380281690140845,0.5324675324675324,2
rain,19,485,0.0007246376811594203,0.34285714285714286,0.6140350877192983,1
extreme weather events,18,373,0.043486887508626636,0.4,0.6470588235294118,1
fossil fuels,17,134,0.0491287094547964,0.38095238095238093,0.6985294117647058,3
heatwaves,16,466,0.0,0.2608695652173913,0.7416666666666667,2
global warming,15,182,0.008272946859903381,0.3582089552238806,0.7714285714285715,3
CO2,15,160,0.2331004140786749,0.48,0.7523809523809524,3
deforestation,15,84,0.13951000690131127,0.4444444444444444,0.7523809523809524,2
greenhouse effect,14,367,0.0800897170462388,0.3870967741935484,0.7142857142857143,3
ecosystem,14,103,0.035826432022084194,0.375,0.7582417582417582,2
melting glaciers,12,201,0.0009057971014492754,0.2962962962962963,0.8636363636363636,1
renewable energy,12,46,0.031133540372670805,0.38095238095238093,0.7727272727272727,1
loss of biodiversity,11,72,0.0888975155279503,0.4,0.9636363636363636,2
green transition,11,123,0.07625086266390613,0.38095238095238093,0.6545454545454545,1
natural disaster,11,159,0.0880175983436853,0.42857142857142855,0.8727272727272727,1
net zero,11,101,0.032349896480331264,0.3870967741935484,0.7272727272727273,2
energy consumption,10,175,0.1054520358868185,0.41379310344827586,0.5333333333333333,1
flooding,10,109,0.011473429951690822,0.36363636363636365,0.9333333333333333,1
clean energy,7,20,0.0679089026915114,0.4,0.7142857142857143,2
green policies,7,52,0.058876811594202896,0.34285714285714286,0.7142857142857143,1
misinformation,4,11,0.005590062111801242,0.2857142857142857,0.5,1
normatives,3,181,0.0,0.2553191489361702,1.0,1
tesla,3,3,0.07218771566597654,0.34782608695652173,0.6666666666666666,3
electric vehicles,3,4,0.03831953071083506,0.32,1.0,1
